study_id,source,country_or_region,evidence_type_or_design,population_data_source_or_focus,main_concept_addressed,domain_codes,relevance_to_review_question,primary_geographic_category,primary_population_system_level,source_category
S001,"Allison, 1954, Protection Afforded by Sickle-Cell Trait Against Subtertian Malarial Infection",East Africa,Foundational genetic epidemiology,Human populations in malaria-endemic settings,Sickle cell trait and malaria protection,D1,Provides early foundational evidence for the malaria-HbS relationship.,East Africa,Population genetics and red-cell biology,Foundational/cohort genetic epidemiology
S002,"Allison, 1954, The Distribution of the Sickle-Cell Trait in East Africa and Elsewhere",East Africa and broader African relevance,Foundational population genetics,HbS distribution and malaria-endemic populations,HbS distribution and malaria selection,"D1, D2",Provides early population-level support for the malaria hypothesis.,East Africa,Population genetics and red-cell biology,Foundational/cohort genetic epidemiology
S003,"Aidoo et al., 2002, Protective Effects of the Sickle Cell Gene Against Malaria Morbidity and Mortality",Kenya,Cohort and case-control evidence,Children in a malaria-endemic setting,HbAS protection against severe malaria and mortality,D1,Strengthens biological evidence that HbAS modifies severe malaria outcomes.,East Africa,Population genetics and red-cell biology,Foundational/cohort genetic epidemiology
S004,"Williams et al., 2005, Sickle Cell Trait and the Risk of Plasmodium falciparum Malaria and Other Childhood Diseases",Kenya,Cohort study,Children followed in a malaria-endemic area,HbAS protection against severe P. falciparum malaria,D1,Core biological evidence for malaria-HbS interaction.,East Africa,Population genetics and red-cell biology,Foundational/cohort genetic epidemiology
S005,"Williams et al., 2005, Negative Epistasis Between the Malaria-Protective Effects of HbAS and Alpha-Thalassaemia",Kenya,Genetic epidemiology,"Children with HbAS, alpha-thalassaemia, and co-inheritance",Epistasis among malaria-protective red cell polymorphisms,D1,Shows that malaria protection may be modified by co-inheritance of red cell variants.,East Africa,Population genetics and red-cell biology,Foundational/cohort genetic epidemiology
S006,"Taylor et al., 2012, Haemoglobinopathies and the Clinical Epidemiology of Malaria","Global, with SSA relevance",Review,Haemoglobin variants and malaria outcomes,Haemoglobinopathy effects on malaria susceptibility and severity,D1,Synthesises malaria-HbS and wider haemoglobin variant evidence.,Global/foundational SSA-relevant,Population genetics and red-cell biology,"Reviews, synthesis, or guidance"
S007,"Taylor et al., 2013, Mechanisms of Malaria Protection by Sickle Cell Trait","Global, with SSA relevance",Mechanistic review,HbAS and malaria pathophysiology,Mechanisms of HbAS-mediated malaria protection,D1,Supports mechanistic interpretation of HbAS protection.,Global/foundational SSA-relevant,Population genetics and red-cell biology,"Reviews, synthesis, or guidance"
S008,"Piel et al., 2010, Global Distribution of the Sickle Cell Gene and Geographical Confirmation of the Malaria Hypothesis","Global, strong Africa relevance",Bayesian geostatistical mapping,HbS allele frequency and pre-intervention malaria endemicity,Geographic confirmation of malaria hypothesis,"D1, D2",Links HbS distribution to malaria ecology and historical selection.,Global/foundational SSA-relevant,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S009,"Piel et al., 2013, Global Epidemiology of Sickle Haemoglobin in Neonates","Global, strong SSA relevance",Geostatistical modelling,Neonatal HbS frequency and estimated HbAS/HbSS births,Spatial distribution of HbS and estimated SCA births,D2,Supports spatial co-risk and SCA birth-burden planning.,Global/foundational SSA-relevant,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S010,"Piel et al., 2013, Global Burden of Sickle Cell Anaemia in Children Under Five","Global, strong SSA relevance",Burden modelling,Children under five with SCA,Projected SCA burden and child survival implications,"D2, D5",Links expected SCA births to child survival and service need.,Global/foundational SSA-relevant,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S011,"Modiano et al., 2001, Haemoglobin C Protects Against Clinical Plasmodium falciparum Malaria",Burkina Faso,Genetic epidemiology,Population with HbC and malaria outcomes,HbC protection against clinical malaria,D1,Shows malaria-selected haemoglobin variation beyond HbS.,West Africa,Population genetics and red-cell biology,Genetic association or mechanistic studies
S012,"Mockenhaupt et al., 2004, Hemoglobin C and Resistance to Severe Malaria in Ghanaian Children",Ghana,Case-control study,Children with severe malaria and haemoglobin variants,"HbC, HbAS, and severe malaria risk",D1,Adds West African evidence on haemoglobin variants and severe malaria.,West Africa,Population genetics and red-cell biology,Genetic association or mechanistic studies
S013,"Mockenhaupt et al., 2004, Alpha-Plus-Thalassaemia Protects African Children Against Severe Malaria",Ghana,Case-control study,Children with alpha-thalassaemia and malaria outcomes,Alpha-thalassaemia and severe malaria protection,D1,Supports inclusion of alpha-thalassaemia in red cell polymorphism domain.,West Africa,Population genetics and red-cell biology,Genetic association or mechanistic studies
S014,"Williams et al., 2005, Both Heterozygous and Homozygous Alpha-Plus-Thalassaemias Protect Against Severe and Fatal Malaria",Kenya,Case-control genetic epidemiology,Children with alpha-thalassaemia and severe malaria outcomes,Alpha-thalassaemia and severe malaria protection,D1,Provides East African evidence on alpha-thalassaemia and severe malaria phenotypes.,East Africa,Population genetics and red-cell biology,Genetic association or mechanistic studies
S015,"Ruwende et al., 1995, Natural Selection of Hemi- and Heterozygotes for G6PD Deficiency by Resistance to Severe Malaria","Africa, multicountry relevance",Genetic epidemiology,Populations with G6PD variants,G6PD deficiency and malaria protection,D1,Foundational evidence for G6PD as malaria-relevant red cell variation.,Multicountry SSA/Africa-wide,Population genetics and red-cell biology,Genetic association or mechanistic studies
S016,"Mbanefo et al., 2017, Association of G6PD Deficiency and Malaria: Systematic Review and Meta-Analysis","Global, African subgroup relevance",Systematic review and meta-analysis,G6PD deficiency and malaria outcomes,G6PD deficiency and malaria risk or severity,D1,Supports context-dependent interpretation of G6PD and malaria outcomes.,Global/foundational SSA-relevant,Population genetics and red-cell biology,"Reviews, synthesis, or guidance"
S017,"Rowe et al., 2007, Blood Group O Protects Against Severe P. falciparum Malaria Through Reduced Rosetting","Mali, Kenya",Genetic and mechanistic epidemiology,Children with severe malaria and ABO blood group,"ABO blood group, rosetting, and severe malaria",D1,Supports cytoadherence and rosetting mechanisms in malaria severity.,Multicountry SSA/Africa-wide,Population genetics and red-cell biology,Genetic association or mechanistic studies
S018,"Fry et al., 2008, Common Variation in the ABO Glycosyltransferase Gene and Susceptibility to Severe Malaria","Gambia, Kenya, Malawi",Genetic association study,Children with severe malaria,ABO genetic variation and severe malaria risk,D1,Reinforces ABO as malaria-relevant red cell biology.,Multicountry SSA/Africa-wide,Population genetics and red-cell biology,Genetic association or mechanistic studies
S019,"Kariuki et al., 2020, Red Blood Cell Tension Protects Against Severe Malaria in the Dantu Blood Group",Kenya,Genetic and mechanistic study,Dantu blood group variant and malaria susceptibility,Red cell membrane tension and reduced parasite invasion,D1,Extends biological domain to erythrocyte biomechanics.,East Africa,Population genetics and red-cell biology,Genetic association or mechanistic studies
S020,"Malaria Genomic Epidemiology Network, 2014, Reappraisal of Known Malaria Resistance Loci",Multicountry Africa and Asia,Multicentre genetic association study,Severe malaria cases and controls,"Malaria resistance loci, including haemoglobin and red cell traits",D1,Provides large-scale evidence on malaria susceptibility loci.,Multicountry SSA/Africa-wide,Population genetics and red-cell biology,Genetic association or mechanistic studies
S021,"Weatherall, 2010, Genetic Variation and Susceptibility to Infection: The Red Cell and Malaria","Global, strong Africa relevance",Review,Human genetic variation and infection,Genetic adaptation to malaria and haemoglobinopathies,D1,Provides broader interpretive context for malaria-driven selection.,Global/foundational SSA-relevant,Population genetics and red-cell biology,"Reviews, synthesis, or guidance"
S022,"Bhatt et al., 2015, The Effect of Malaria Control on P. falciparum in Africa Between 2000 and 2015",Endemic Africa,Geospatial modelling,"Malaria prevalence, incidence, and intervention coverage",Spatial and temporal heterogeneity of malaria burden,D2,Supports current malaria exposure as dynamic and spatially uneven.,Multicountry SSA/Africa-wide,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S023,"Gething et al., 2011, A New World Malaria Map: P. falciparum Endemicity in 2010","Global, strong Africa relevance",Geospatial modelling,P. falciparum parasite prevalence,Subnational malaria endemicity,D2,Supports spatial heterogeneity of malaria exposure.,Global/foundational SSA-relevant,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S024,"Weiss et al., 2019, Mapping P. falciparum Mortality, Incidence, and Prevalence, 2000 to 2017","Global, strong SSA relevance",Geospatial modelling,"Malaria prevalence, incidence, and mortality",Contemporary malaria burden geography,D2,Provides updated malaria burden mapping for co-risk interpretation.,Global/foundational SSA-relevant,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S025,"Dalrymple et al., 2015, Malaria Mapping Using Routine Health Facility Data",Africa relevance,Spatial routine-data analysis,Routine malaria data and health facilities,Routine malaria data and spatial burden estimation,"D2, D4",Supports interpretation of routine malaria data as service-mediated spatial signals.,Multicountry SSA/Africa-wide,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S026,"Alegana et al., 2016, Estimating Malaria Incidence Using Routine Health Facility Data",Kenya,Spatial routine-data modelling,"Facility malaria data, care seeking, and catchments",Malaria burden from routine health-system data,"D2, D4",Supports health-system mediation of spatial disease signals.,East Africa,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S027,"Ndeezi et al., 2016, Uganda Sickle Surveillance Study",Uganda,National surveillance using dried blood spots,Infants and young children tested for HbS/SCD,Sickle cell trait and SCD prevalence with regional variation,"D2, D4, D6",Demonstrates screening-linked population visibility and spatial heterogeneity.,East Africa,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S028,"Grosse et al., 2011, Sickle Cell Disease in Africa: A Neglected Cause of Early Childhood Mortality",Africa,Burden-focused review,Childhood SCD mortality,Under-recognition and early mortality,"D4, D5",Supports neglected and hidden-burden framing.,Multicountry SSA/Africa-wide,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S029,"GBD 2021 Sickle Cell Disease Collaborators, 2023, Global, Regional, and National Prevalence and Mortality Burden of SCD","Global, strong SSA relevance",Burden and mortality attribution study,SCD prevalence and mortality,Cause-specific versus total SCD-attributable mortality,"D4, D5",Key evidence for mortality under-attribution.,Global/foundational SSA-relevant,"Population burden, geography, and surveillance","Geospatial, modelling, surveillance, or routine data"
S030,"Kato et al., 2018, Sickle Cell Disease",Global,Review,SCD pathobiology and clinical complications,"Haemolysis, vaso-occlusion, anaemia, and organ damage","D3, D5",Provides clinical foundation for interpreting SCA vulnerability.,Global/foundational SSA-relevant,SCD clinical care populations,"Reviews, synthesis, or guidance"
S031,"White, 2018, Anaemia and Malaria","Global, malaria-endemic relevance",Review,Malaria and anaemia mechanisms,Malaria-related anaemia pathophysiology,D3,Supports severe anaemia as malaria-SCD clinical bridge.,Global/foundational SSA-relevant,Hospitalised children and severe anaemia,"Reviews, synthesis, or guidance"
S032,"Marsh et al., 1995, Indicators of Life-Threatening Malaria in African Children",Kenya,Clinical study,Children admitted with severe malaria,Severe malaria clinical phenotypes,D3,Supports phenotype-specific interpretation of severe malaria.,East Africa,Hospitalised children and severe anaemia,"Clinical studies, clinical trials, or secondary analyses"
S033,"Maitland et al., 2019, Immediate Transfusion in African Children With Uncomplicated Severe Anaemia","Uganda, Malawi",Randomised clinical trial,Children with severe anaemia,Timing of transfusion,"D3, D5",Establishes severe anaemia as a major paediatric acute-care syndrome.,East Africa,Hospitalised children and severe anaemia,"Clinical studies, clinical trials, or secondary analyses"
S034,"Maitland et al., 2019, Transfusion Volume for Children With Severe Anaemia in Africa","Uganda, Malawi",Randomised clinical trial,Children with severe anaemia,Transfusion volume strategies,"D3, D5",Supports transfusion readiness as a service requirement.,East Africa,Hospitalised children and severe anaemia,"Clinical studies, clinical trials, or secondary analyses"
S035,"Uyoga et al., 2022, Sickle Cell Anaemia and Severe P. falciparum Malaria: Secondary Analysis of TRACT",Uganda,Secondary analysis of trial data with genotyping,Children admitted with severe anaemia,"Previously unknown SCA, malaria biomarkers by genotype","D3, D4",Central evidence for clinical convergence and under-recognition.,East Africa,Hospitalised children and severe anaemia,"Clinical studies, clinical trials, or secondary analyses"
S036,"Awotua-Efebo et al., 2004, Malaria Parasite Density and Sickle Cell Anaemia",Nigeria,Clinical comparative study,Children with SCA and controls,Malaria parasitaemia and SCA,D3,Supports genotype-sensitive interpretation of malaria positivity.,West Africa,Hospitalised children and severe anaemia,"Clinical studies, clinical trials, or secondary analyses"
S037,"Nsagha et al., 2020, Malaria and Sickle Cell Disease Among Children in Cameroon",Cameroon,Hospital-based study,Children with and without SCD,"Malaria prevalence, parasite density, and outcomes among SCD patients",D3,Adds clinical evidence on malaria among children with SCD.,Central Africa,Hospitalised children and severe anaemia,"Clinical studies, clinical trials, or secondary analyses"
S038,"Sumbele et al., 2016, Malaria and Moderate-to-Severe Anaemia in Cameroonian Children",Cameroon,Hospital-based study,Paediatric admissions,Malaria and moderate-to-severe anaemia,D3,Supports malaria-anaemia convergence in paediatric care settings.,Central Africa,Hospitalised children and severe anaemia,"Clinical studies, clinical trials, or secondary analyses"
S039,"Makani et al., 2011, Mortality in Sickle Cell Anaemia in Africa",Tanzania,Prospective cohort study,Patients with SCA,Mortality and survival,D5,Shows high mortality in African SCA cohorts and need for comprehensive care.,East Africa,SCD clinical care populations,"Clinical studies, clinical trials, or secondary analyses"
S040,"Masamu et al., 2024, Very Severe Anaemia in Sickle Cell Disease in Tanzania",Tanzania,Cohort or hospital-based study,People with SCD,Very severe anaemia and adverse outcomes,"D3, D5",Supports severe anaemia as clinically important in African SCD care.,East Africa,Hospitalised children and severe anaemia,"Clinical studies, clinical trials, or secondary analyses"
S041,"Gaston et al., 1986, Prophylaxis With Oral Penicillin in Children With Sickle Cell Anaemia","United States, foundational care evidence",Randomised clinical trial,Young children with SCA,Penicillin prophylaxis and pneumococcal septicemia,D5,Foundational evidence for early diagnosis and infection prevention in essential SCD care.,Global/foundational SSA-relevant,SCD clinical care populations,"Clinical studies, clinical trials, or secondary analyses"
S042,"Quinn et al., 2010, Improved Survival of Children and Adolescents With Sickle Cell Disease","United States, comparative benchmark",Cohort study,Children and adolescents with SCD,Survival after newborn screening and comprehensive care,D5,Provides benchmark for benefits of early diagnosis and organised care.,Global/foundational SSA-relevant,SCD clinical care populations,"Clinical studies, clinical trials, or secondary analyses"
S043,"WHO, 2025, Sickle Cell Disease Fact Sheet",Global,Public health guidance,SCD prevention and care,"Diagnosis, vaccination, hydroxyurea, transfusion, comprehensive care","D5, D6",Provides current global public health framing for essential SCD care.,Global/foundational SSA-relevant,SCD clinical care populations,"Reviews, synthesis, or guidance"
S044,"Tshilolo et al., 2019, Hydroxyurea for Children With Sickle Cell Anaemia in Sub-Saharan Africa","Angola, Democratic Republic of Congo, Kenya, Uganda",Open-label clinical trial,Children with SCA,"Hydroxyurea feasibility, safety, and clinical benefit","D5, D6",Strong SSA evidence for disease-modifying therapy.,Multicountry SSA/Africa-wide,SCD clinical care populations,"Clinical studies, clinical trials, or secondary analyses"
S045,"Opoka et al., 2017, Novel Use of Hydroxyurea in an African Region With Malaria",Uganda,Randomised placebo-controlled trial,Children with SCA,Hydroxyurea safety in malaria-endemic setting,"D5, D6",Addresses hydroxyurea safety where malaria is endemic.,East Africa,SCD clinical care populations,"Clinical studies, clinical trials, or secondary analyses"
S046,"John et al., 2020, Hydroxyurea Dose Escalation for Sickle Cell Anaemia in Sub-Saharan Africa",Uganda,Randomised clinical trial,Children with SCA,Hydroxyurea fixed-dose versus dose escalation,"D5, D6",Adds SSA evidence on hydroxyurea optimisation and safety.,East Africa,SCD clinical care populations,"Clinical studies, clinical trials, or secondary analyses"
S047,"Tshilolo et al., 2009, Neonatal Screening for Sickle Cell Anaemia in the Democratic Republic of Congo",Democratic Republic of Congo,Newborn screening study,"31,204 newborns",Neonatal screening and SCA prevalence,"D4, D6",Demonstrates feasibility of newborn screening in Central Africa.,Central Africa,Newborns and infants,"Screening, diagnostic, implementation, or programme studies"
S048,"Rahimy et al., 2009, Newborn Screening for Sickle Cell Disease in the Republic of Benin",Benin,Newborn screening and follow-up programme,Newborns and families in Cotonou,"Screening, enrolment, and follow-up","D4, D5, D6",Provides African evidence on screening-to-care linkage and retention.,West Africa,Newborns and infants,"Screening, diagnostic, implementation, or programme studies"
S049,"Odunvbun et al., 2008, Newborn Screening for Sickle Cell Disease in a Nigerian Hospital",Nigeria,Hospital-based newborn screening study,Newborns in Nigerian hospital,SCD screening feasibility and prevalence,"D4, D6",Adds West African newborn screening evidence.,West Africa,Newborns and infants,"Screening, diagnostic, implementation, or programme studies"
S050,"Nnodu et al., 2018, Acceptability of Newborn Screening for Sickle Cell Disease in Nigeria",Nigeria,Multicentre survey,"Mothers, families, newborn screening context",Acceptability of newborn screening,D6,Supports programme feasibility and social acceptability of screening.,West Africa,Newborns and infants,"Screening, diagnostic, implementation, or programme studies"
S051,"Ohene-Frempong et al., 2008, Screening Newborns for Sickle Cell Disease in Ghana",Ghana,Programme report,Newborn screening programme,"Screening, result return, tracking, and clinic enrolment","D4, D6",Key African programme model for screening plus follow-up.,West Africa,Newborns and infants,"Screening, diagnostic, implementation, or programme studies"
S052,"Therrell et al., 2015, Newborn Screening for Sickle Cell Diseases in Africa",Africa,Review,Newborn screening initiatives,Screening feasibility and linkage-to-care barriers,"D5, D6",Synthesises African newborn screening implementation evidence.,Multicountry SSA/Africa-wide,"Facilities, programmes, and health systems","Reviews, synthesis, or guidance"
S053,"McGann, 2014, Newborn Screening for Sickle Cell Disease in Africa",Africa,Review,SCD newborn screening,Early diagnosis and implementation priorities,D6,Supports newborn screening as a public health priority in Africa.,Multicountry SSA/Africa-wide,"Facilities, programmes, and health systems","Reviews, synthesis, or guidance"
S054,"Green et al., 2022, The Consortium on Newborn Screening in Africa for Sickle Cell Disease",Multicountry SSA,Implementation research protocol,Newborn screening consortium,"Screening, standardised care, and mortality ascertainment",D6,Provides multicountry screening-to-care implementation model.,Multicountry SSA/Africa-wide,"Facilities, programmes, and health systems","Screening, diagnostic, implementation, or programme studies"
S055,"Nnodu et al., 2024, Newborn Screening Initiatives for Sickle Cell Disease in Africa",Africa,Review,Newborn screening initiatives,"Policy, process, barriers, enrolment, and linkage","D5, D6",Supports programme cascade and sustainability framing.,Multicountry SSA/Africa-wide,"Facilities, programmes, and health systems","Reviews, synthesis, or guidance"
S056,"Okeke et al., 2024, Sustainability of Newborn Screening for Sickle Cell Disease in Resource-Poor Countries","Resource-poor settings, Africa relevance",Systematic review,Newborn screening sustainability,"Policy, financing, health-system and implementation barriers",D6,Supports sustainability and scale-up evidence.,Multicountry SSA/Africa-wide,"Facilities, programmes, and health systems","Reviews, synthesis, or guidance"
S057,"Steele et al., 2019, Point-of-Care Screening for Sickle Cell Disease in Low-Resource Settings","Ghana, Martinique, United States",Diagnostic accuracy study,"Children and adults in low-, middle-, and high-resource settings",HemoTypeSC point-of-care diagnosis,D6,Supports diagnostic innovation for low-resource screening.,West Africa,"Facilities, programmes, and health systems","Screening, diagnostic, implementation, or programme studies"
S058,"Nnodu et al., 2019, HemoTypeSC Point-of-Care Testing: Promises and Challenges",Nigeria,Field evaluation and implementation study,SCD point-of-care testing,HemoTypeSC implementation in low-resource settings,D6,Highlights practical challenges in decentralised diagnosis.,West Africa,"Facilities, programmes, and health systems","Screening, diagnostic, implementation, or programme studies"
S059,"SickleInAfrica Consortium, 2020, SickleInAfrica: An African Research Network",Multicountry Africa,Consortium and network report,"SCD research, registry, and implementation infrastructure",Multicountry SCD data systems and research capacity,"D4, D6",Supports data-system and programme development in African SCD research.,Multicountry SSA/Africa-wide,"Facilities, programmes, and health systems","Geospatial, modelling, surveillance, or routine data"
S060,"Makani et al., 2013, Sickle Cell Disease: New Opportunities and Challenges in Africa",Africa,Review,SCD burden and care in Africa,"Diagnosis, comprehensive care, and research needs","D5, D6",Supports structural vulnerability and programme response domains.,Multicountry SSA/Africa-wide,"Facilities, programmes, and health systems","Reviews, synthesis, or guidance"
S061,"Ware et al., 2017, Sickle Cell Disease","Global, strong SSA relevance",Review,SCD epidemiology and management,Global burden and management of SCD,D5,Provides broader clinical and management context for SCD care.,Global/foundational SSA-relevant,SCD clinical care populations,"Reviews, synthesis, or guidance"
S062,"Wonkam et al., 2020, Sickle Cell Disease in Africa: Genomics and Public Health",Africa,Review or perspective,"SCD, genomics, and African health systems","Genomics, burden, diagnosis, and care gaps","D1, D5",Supports African genomic and systems perspective on SCD.,Multicountry SSA/Africa-wide,"Facilities, programmes, and health systems","Reviews, synthesis, or guidance"
S063,"Singer and Clair, 2003, Syndemics and Public Health",Global theoretical relevance,Theoretical paper,Syndemic theory,"Disease clustering, interaction, and biosocial context",D7,Provides conceptual foundation for syndemic framing.,Global/foundational SSA-relevant,Theory and conceptual systems,Syndemic theory or methods
S064,"Singer et al., 2017, Syndemics and the Biosocial Conception of Health",Global theoretical relevance,Theoretical paper,Syndemic theory,Biosocial and structural framing of syndemics,D7,Supports multilevel interpretation of malaria-SCD evidence.,Global/foundational SSA-relevant,Theory and conceptual systems,Syndemic theory or methods
S065,"Tsai et al., 2017, Co-Occurring Epidemics, Syndemics, and HIV Risk: Systematic Review",Global methodological relevance,Systematic review and methodological critique,Syndemic measurement,Limits of co-occurrence-only syndemic claims,D7,Supports cautious classification of syndemic evidence.,Global/foundational SSA-relevant,Theory and conceptual systems,Syndemic theory or methods
S066,"Tsai, 2018, Syndemics: A Theory in Search of Data or Data in Search of a Theory?",Global methodological relevance,Methodological critique,Syndemic theory and evidence,Need for causal and analytic specificity,D7,Supports bounded interpretation and avoidance of overclaiming.,Global/foundational SSA-relevant,Theory and conceptual systems,Syndemic theory or methods
S067,"Mendenhall, 2017, Syndemics: A New Path for Global Health Research",Global theoretical relevance,Theoretical review,Syndemic theory in global health,Multilevel interaction and structural context,D7,Supports use of syndemic theory for global health synthesis.,Global/foundational SSA-relevant,Theory and conceptual systems,Syndemic theory or methods
S068,"Mendenhall, 2021, Syndemics and Clinical Science",Global theoretical relevance,Review or conceptual paper,Syndemic methods and application,Application and limits of syndemic reasoning,D7,Supports careful interpretation of syndemic claims.,Global/foundational SSA-relevant,Theory and conceptual systems,Syndemic theory or methods
